年 / 周,仪表数量,运维次数,单位仪器运维次数
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
23/1-3/11,590,2,0.003389831
23/1-3/12,1074,13,0.012104283
23/1-3/13,981,14,0.014271152
23/1-3/14,981,15,0.01529052
23/4-6/2,1170,23,0.01965812
23/4-6/3,1171,13,0.011101623
23/4-6/4,1011,13,0.012858556
23/4-6/5,952,20,0.021008403
23/4-6/6,1176,16,0.013605442
23/4-6/7,818,8,0.009779951
23/4-6/8,1118,11,0.009838998
23/4-6/9,974,22,0.022587269
23/4-6/10,1180,38,0.03220339
23/4-6/11,1087,29,0.026678933
23/4-6/12,876,10,0.011415525
23/4-6/13,1185,20,0.016877637
23/4-6/14,1090,41,0.037614679
23/7-9/2,1185,26,0.021940928
23/7-9/3,1200,42,0.035
23/7-9/4,1186,31,0.02613828
23/7-9/5,1186,17,0.014333895
23/7-9/6,1088,31,0.028492647
23/7-9/7,1200,32,0.026666667
23/7-9/8,1200,48,0.04
23/7-9/9,1186,48,0.040472175
23/7-9/10,1186,61,0.05143339
23/7-9/11,1200,22,0.018333333
23/7-9/12,1186,37,0.031197302
23/7-9/13,1186,46,0.038785835
23/7-9/14,1102,25,0.022686025
23/10-12/2,1186,58,0.048903879
23/10-12/3,1260,32,0.025396825
23/10-12/4,1200,50,0.041666667
23/10-12/5,1201,46,0.038301415
23/10-12/6,1201,36,0.029975021
23/10-12/7,1187,29,0.02443134
23/10-12/8,1187,63,0.053074979
23/10-12/9,1125,37,0.032888889
23/10-12/10,1201,45,0.037468776
23/10-12/11,1187,22,0.01853412
23/10-12/12,1187,27,0.02274642
23/10-12/13,1106,52,0.047016275
23/10-12/14,1152,41,0.035590278
24/1-3/1,981,8,0.008154944
24/1-3/2,1261,23,0.018239492
24/1-3/3,1187,20,0.0168492
24/1-3/4,1106,28,0.025316456
24/1-3/5,962,7,0.007276507
24/1-3/6,1187,21,0.01769166
24/1-3/7,1088,9,0.008272059
24/1-3/8,1092,36,0.032967033
24/1-3/9,1187,35,0.029486099
24/1-3/10,1092,15,0.013736264
